AnonID,Query,QueryTime,ItemRank,"ClickURL
",Redacted
16046267,california coast,2006-03-26 17:36:32,,"
",1
16091739,tattoos,2006-04-01 22:20:14,,"
",0
3162171,my bange me,2006-03-18 01:09:12,,"
",0
14749502,wlbt.com,2006-05-14 10:24:44,1,"http://www.wlbt.com
",0
2958073,free tarot readings,2006-05-16 12:37:29,,"
",0
12666762,gmail,2006-04-11 17:26:09,1,"http://mail.google.com
",0
14935220,numanumadance,2006-04-30 16:40:02,,"
",0
9884005,judy jakes ministries,2006-04-20 12:50:37,,"
",0
2709257,tree silhouettes,2006-05-16 17:45:43,,"
",0
11587535,church's banner,2006-03-22 01:10:06,,"
",0
6316394,silver sage thermogenics ephedrea,2006-03-25 16:23:52,,"
",0
16375066,the antisceptic baby and the prophylactic pup,2006-03-19 23:26:45,,"
",1
659658,ebay,2006-03-03 13:57:56,,"
",0
14510736,goldenrold paper,2006-05-25 16:55:38,1,"http://www.toronto.ca
",0
15019453,mp3 downloads,2006-03-16 17:25:35,,"
",0
21798416,www.dhmco.co,2006-04-21 08:28:37,,"
",0
5173325,the sims game,2006-05-07 13:01:32,7,"http://en.wikipedia.org
",0
17576664,unicare insurance nevada,2006-04-30 02:24:32,,"
",1
1700624,thunder valley casino,2006-03-26 15:25:52,1,"http://www.thundervalleyresort.com
",1
9826337,.aldappd em0046545503 pre-delivery alert summary page 3492date run 3 15 2006 chicopaton aol.com time 18 09this message is to alert you that the following package s is are duefor delivery by fedex,2006-03-20 13:28:59,,"
",1
1509790,erika elaniak,2006-03-19 01:43:36,1,"http://www.allmovieportal.com
",1
2289079,camping at big sycamore,2006-05-02 15:47:37,17,"http://www.reserveamerica.com
",1
7286779,north hennepin,2006-05-19 09:17:23,1,"http://www.nhcc.edu
",1
3314693,funeral,2006-03-29 20:43:49,,"
",0
5950572,christmasatthemall.com,2006-03-06 18:34:46,7,"http://www.shopping.about2006.org
",0
2438241,marylandballetyouth.vom,2006-04-11 22:41:28,1,"http://www.marylandyouthballet.org
",0
16325676,www.daysinhotel.com,2006-03-19 19:43:25,,"
",0
2558498,tulane hospital,2006-05-06 21:03:29,3,"http://www2.tulane.edu
",1
18731122,goolge,2006-05-10 22:08:18,,"
",0
4370739,singleme,2006-03-02 18:11:31,,"
",0
2223190,berkeley blood test,2006-05-18 18:36:14,1,"http://www.lbl.gov
",1
16563950,http party poker.com,2006-04-03 19:54:56,,"
",0
8320751,map guest,2006-03-22 08:18:35,,"
",0
3303628,rossi combo w 3 barrels 270 17hmr 50cal muz new,2006-04-01 17:43:24,,"
",1
3565060,suny sccc,2006-05-23 15:59:38,,"
",0
5935440,www.maxwellt0p100.com,2006-03-21 15:03:54,,"
",0
1545722,1973 katharine hepburn movie,2006-03-03 09:07:57,,"
",0
18859029,sharron,2006-04-08 12:37:02,,"
",0
18544420,underage girls nude,2006-05-31 20:21:20,8,"http://www.soilrem.com
",1
13416482,sturm ruger,2006-04-02 00:17:19,,"
",0
4075912,naked crucifixion,2006-04-10 14:01:37,,"
",1
11890412,xanga.com,2006-03-10 19:28:08,2,"http://www.xanga.com
",0
4927596,chuck norris jokes,2006-03-24 15:54:51,1,"http://en.wikipedia.org
",0
2327118,tyngsboro school,2006-03-02 18:17:04,,"
",1
12622450,rajashwini.com,2006-05-14 14:24:49,,"
",0
4999176,us postmaster moving,2006-03-23 15:45:29,1,"http://www.usps.com
",0
6185322,clarence and louise stout rochester ny,2006-04-18 10:31:15,,"
",1
