AnonID,Query,QueryTime,ItemRank,"ClickURL
"
2438241,marylandballetyouth.vom,4/11/06 22:41,1,"http://www.marylandyouthballet.org
"
16325676,www.daysinhotel.com,3/19/06 19:43,,"
"
2558498,tulane hospital,5/6/06 21:03,3,"http://www2.tulane.edu
"
18731122,goolge,5/10/06 22:08,,"
"
4370739,singleme,3/2/06 18:11,,"
"
2223190,berkeley blood test,5/18/06 18:36,1,"http://www.lbl.gov
"
16563950,http party poker.com,4/3/06 19:54,,"
"
8320751,map guest,3/22/06 08:18,,"
"
3303628,rossi combo w 3 barrels 270 17hmr 50cal muz new,4/1/06 17:43,,"
"
3565060,suny sccc,5/23/06 15:59,,"
"
5935440,www.maxwellt0p100.com,3/21/06 15:03,,"
"
1545722,1973 katharine hepburn movie,3/3/06 09:07,,"
"
18859029,sharron,4/8/06 12:37,,"
"
18544420,underage girls nude,5/31/06 20:21,8,"http://www.soilrem.com
"
13416482,sturm ruger,4/2/06 00:17,,"
"
4075912,naked crucifixion,4/10/06 14:01,,"
"
11890412,xanga.com,3/10/06 19:28,2,"http://www.xanga.com
"
4927596,chuck norris jokes,3/24/06 15:54,1,"http://en.wikipedia.org
"
2327118,tyngsboro school,3/2/06 18:17,,"
"
12622450,rajashwini.com,5/14/06 14:24,,"
"
4999176,us postmaster moving,3/23/06 15:45,1,"http://www.usps.com
"
6185322,clarence and louise stout rochester ny,4/18/06 10:31,,"
"
